Model;Fabricante;Codename;Series;precio;L2.Cache.MB.;TDP.Watt;MHz;Cores;Process.nm.;Architecture;Days.old;Graphics.Card;Cinebench.R10.32Bit.Single;SuperPI.1M.;TrueCrypt.AES
AMD Ryzen 3 3250U;AMD;Zen;Picasso (Ryzen 3000 APU);76;1;15;2600;2;14;x86;995;Vega 3;4088;12.72;1.9
Intel Pentium Dual Core T2060;Intel;Yonah;Pentium Dual Core;6;1;31;1600;2;65;x86;5993;newitem;NA;41;NA
Intel Celeron J4125;Intel;Gemini Lake Refresh;Gemini Lake;54;4;10;2000;4;14;x86;1058;UHD Graphics 600;2182.5;35.05;1.85
AMD 3020e;AMD;Zen;Raven Ridge (Ryzen 2000 APU);47;1;6;1200;2;14;x86;784;Vega 3;NA;16.95;1.1
AMD Athlon Silver 3050e;AMD;Zen;Raven Ridge (Ryzen 2000 APU);58;1;6;1400;2;14;x86;848;Vega 3;3339;41.6;1.3
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i3-3110M;Intel;Ivy Bridge;Core i3;48;0.5;35;2400;2;22;x86;3678;HD Graphics 4000;NA;15.97;0.12
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core 2 Duo T5600;Intel;Merom;Core 2 Duo;28;2;34;1830;2;65;x86;5905;newitem;NA;31;NA
Intel Core i5-3320M;Intel;Ivy Bridge;Core i5;44;0.5;35;2600;2;22;x86;3768;HD Graphics 4000;4415.5;11.86;1.5
Intel Core 2 Duo T7100;Intel;Merom;Core 2 Duo;37;2;34;1800;2;65;x86;5620;newitem;1817;31;NA
AMD Phenom II X4 N950;AMD;Champlain;Phenom II X4;36;2;35;2100;4;45;x86;4376;newitem;1816;36.8;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core M-5Y51;Intel;Broadwell;Core M;48;0.5;4.5;1100;2;14;x86;2857;HD Graphics 5300;3190;15.45;1.1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Pentium 2129Y;Intel;Ivy Bridge;Pentium;7;0.5;10;1100;2;22;x86;3556;HD Graphics (Ivy Bridge);1502;34.63;0.1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core 2 Duo (Desktop) E6700;Intel;Conroe;Core 2 Duo (Desktop);30;4;65;2660;2;65;x86;5906;newitem;2710;NA;NA
Intel Core i7-5600U;Intel;Broadwell;Core i7;84;0.5;15;2600;2;14;x86;2822;HD Graphics 5500;4944;12.13;1.9
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i5-580M;Intel;Arrandale;Core i5;78;0.5;35;2666;2;32;x86;4384;newitem;3519;13;NA
AMD Turion X2 Ultra ZM-84;AMD;Puma;Turion X2 Ultra;43;2;35;2300;2;65;x86;5228;newitem;1886;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Core i3-350M;Intel;Arrandale;Core i3;48;0.5;35;2260;2;32;x86;4643;newitem;2453;19;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Intel Celeron 1000M;Intel;Ivy Bridge;Celeron;55;0.5;35;1800;2;22;x86;3536;HD Graphics (Ivy Bridge);2480;21.25;0.16
Intel Core i5-5200U;Intel;Broadwell;Core i5;75;0.5;15;2200;2;14;x86;2822;HD Graphics 5500;4135.58;14.5;1.5
